taxon	lfc_(Intercept)	lfc_conditionactive_smoker	lfc_conditionex_smoker	lfc_conditionpassive_smoker	se_(Intercept)	se_conditionactive_smoker	se_conditionex_smoker	se_conditionpassive_smoker	W_(Intercept)	W_conditionactive_smoker	W_conditionex_smoker	W_conditionpassive_smoker	p_(Intercept)	p_conditionactive_smoker	p_conditionex_smoker	p_conditionpassive_smoker	q_(Intercept)	q_conditionactive_smoker	q_conditionex_smoker	q_conditionpassive_smoker	diff_(Intercept)	diff_conditionactive_smoker	diff_conditionex_smoker	diff_conditionpassive_smoker
Veillonella_A atypica	-0.0596269359157967	0.00770703781515537	0.132166736820261	0.568211137842753	0.0935615494743813	0.19612115251508	0.222721036411622	0.251439109064216	-0.637301714761828	0.0392973308402456	0.593418291103841	2.25983594977516	0.523928334228627	0.968653334655206	0.552901250768526	0.0238314343156261	0.997233545206974	0.994589427260746	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Allisonella histaminiformans	-0.146348698720925	0.511910867488588	0.415461730741802	0.167053549577126	0.118826231683238	0.249080286054067	0.282863009666432	0.319335902363102	-1.23161945513054	2.05520427007005	1.46877363438838	0.523127992627578	0.218091269989759	0.039859278876106	0.141894197575436	0.600885186742153	0.997233545206974	0.562012670254427	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Dialister hominis	0.0872224725632997	-0.179828658968536	-0.06959785094087	-0.344556155794029	0.187093719213283	0.39218072003488	0.445372135063851	0.502799262461762	0.466196689712859	-0.458535184882476	-0.156268983758699	-0.685275778065074	0.641074718604266	0.646567990281617	0.875821003331728	0.493169913523034	0.997233545206974	0.958858670897386	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Megasphaera_A_38685 indica	-0.118575383569877	0.375650353536636	0.54999291246885	-0.0510443023273596	0.16339945741586	0.34251345866725	0.388968510132701	0.439122847206267	-0.725677951721075	1.09674625633201	1.41397799086927	-0.116241508844523	0.468036221267104	0.27275232970185	0.157368364771437	0.907461140409095	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Megamonas funiformis	-0.262676046530773	0.494034929099952	1.78164742194286	-0.413242927176134	0.317683736681919	0.66591993103337	0.756238556141993	0.853749389190746	-0.826847635558308	0.74188337978308	2.35593306830594	-0.484033057485217	0.408323426475842	0.45815799650472	0.0184762464308512	0.628362408562331	0.997233545206974	0.945993607281169	0.661619484544201	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Holdemania massiliensis	-0.0536712603981251	0.238265386907996	0.177266376709872	0.023515126775032	0.0901273348018014	0.188922445959296	0.214545970314128	0.242209934446441	-0.595504799028544	1.26118093431487	0.826239600074178	0.0970857237081326	0.551506092190374	0.207243666141046	0.408668188608513	0.922658318131262	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Dielma fastidiosa	0.0178999862152358	0.00216085953823807	-0.0423876061420781	0.00569967538338235	0.0706031846561907	0.147996458201012	0.168069196683127	0.189740357516309	0.253529444916707	0.0146007516970653	-0.252203300655947	0.0300393414347416	0.799859110483859	0.988350699549697	0.80088392696862	0.976035677389206	0.997233545206974	0.994589427260746	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Merdibacter massiliensis	-0.0100780589856843	0.281130090065802	-0.116614085380483	-0.116114472011942	0.105151256947327	0.220415179277956	0.250310058553552	0.282585512022306	-0.0958434476036046	1.27545703062166	-0.465878543013221	-0.410900301225549	0.923644909972981	0.202147523815466	0.641302440632362	0.68114564154818	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Faecalitalea cylindroides	-0.00842633107777613	0.119193690109666	-0.0759814091079622	0.109432408501012	0.0882132223270758	0.184910135916382	0.209989471233317	0.237065911736283	-0.095522313497778	0.644603334040954	-0.36183437513179	0.461611742065838	0.923899967686565	0.519184273741287	0.717475802547428	0.644359772592308	0.997233545206974	0.945993607281169	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Holdemanella biformis	0.0344622826877524	0.191891264321545	0.147543291764099	-0.767444455058726	0.264401842369057	0.554231886323438	0.629402277884496	0.710558600768114	0.130340554282709	0.346229203076852	0.234418108971598	-1.0800579350234	0.896296996041767	0.729170469476732	0.814660401338621	0.28011638211333	0.997233545206974	0.960620788038167	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Longicatena caecimuris	0.0513014959609652	-0.0859409976869389	-0.114672443679175	-0.0834050431238536	0.0916907077131894	0.192199545354451	0.218267542232061	0.246411372902546	0.559505943845884	-0.447144646093975	-0.525375612454807	-0.338478870278603	0.575816475848026	0.654770625209969	0.599322103480848	0.735002347496572	0.997233545206974	0.958858670897386	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Clostridium_AQ innocuum	0.080624427704081	-0.391869015878757	-0.508543415595267	0.697991606340231	0.145296122776867	0.304565745384265	0.34587395391859	0.390471597218511	0.554897310149817	-1.28664835693963	-1.47031428598109	1.78756050712091	0.578964901847855	0.198216880786194	0.141476653647803	0.0738469419125034	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
NSJ-61 sp003433845	0.0525164957965216	-0.223883848654862	0.0455400938061755	-0.0567490312880762	0.0917107286322927	0.192241512655666	0.218315201552345	0.246465177505936	0.572631976429743	-1.16459679057911	0.208597905607854	-0.2302517210031	0.56689390413679	0.244182243542328	0.834762145693047	0.817896173769746	0.997233545206974	0.845383629609388	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
Amedibacillus dolichus	-0.130113878748782	0.428566931221516	0.129723285387336	0.532173619051009	0.0988918802687799	0.207294445652667	0.235409761701174	0.265763942646928	-1.31571852406025	2.06743084636046	0.551053127321054	2.0024297267369	0.188268534447008	0.0386935741567656	0.58159725577631	0.0452385340115641	0.997233545206974	0.562012670254427	0.985994236939106	0.993464214136497	FALSE	FALSE	FALSE	FALSE
